1644603446743	PolyGesture	ExperimentStarted	Alessia
1644603455111	PolyGesture	InputEvent	SelectionChanged 0 0

1644603455112	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644603455116	PolyGesture	InputEvent	SelectionChanged 0 0

1644603455116	PolyGesture	InputEvent	SelectionChanged 0 0

1644603455117	PolyGesture	TaskStarted	Cancella parola

1644603455117	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1644603455121	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1644603455124	PolyGesture	InputEvent	SelectionChanged 534 534

1644603455142	PolyGesture	InputEvent	FocusChanged true 130 null

1644603455165	PolyGesture	InputEvent	WindowFocusChanged true

1644603455174	PolyGesture	InputEvent	BeginBatchEdit

1644603455175	PolyGesture	InputEvent	BeginBatchEdit

1644603456591	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=899.0, y[0]=123.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=28733200, downTime=28733200, deviceId=4, source=0x1002, displayId=0 }
1644603456660	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=899.0, y[0]=123.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=28733290, downTime=28733200, deviceId=4, source=0x1002, displayId=0 }
1644603456671	PolyGesture	InputEvent	SelectionChanged 109 109

1644603456673	PolyGesture	InputEvent	BeginBatchEdit

1644603456685	PolyGesture	InputEvent	BeginBatchEdit

1644603456694	PolyGesture	InputEvent	BeginBatchEdit

1644603456703	PolyGesture	InputEvent	BeginBatchEdit

1644603456703	PolyGesture	InputEvent	BeginBatchEdit

1644603456705	PolyGesture	InputEvent	BeginBatchEdit

1644603456736	PolyGesture	InputEvent	BeginBatchEdit

1644603456749	PolyGesture	InputEvent	BeginBatchEdit

1644603456750	PolyGesture	InputEvent	BeginBatchEdit

1644603456751	PolyGesture	InputEvent	BeginBatchEdit

1644603456759	PolyGesture	InputEvent	BeginBatchEdit

1644603456951	PolyGesture	InputEvent	BeginBatchEdit

1644603456954	PolyGesture	InputEvent	BeginBatchEdit

1644603458085	PolyGesture	InputEvent	BeginBatchEdit

1644603458096	PolyGesture	InputEvent	SelectionChanged 0 0

1644603458099	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 533 533

1644603458106	PolyGesture	InputEvent	SelectionChanged 108 108

1644603458107	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 5

1644603458112	PolyGesture	InputEvent	SelectionChanged 108 108

1644603458124	PolyGesture	InputEvent	BeginBatchEdit

1644603458126	PolyGesture	InputEvent	BeginBatchEdit

1644603458127	PolyGesture	InputEvent	BeginBatchEdit

1644603458127	PolyGesture	InputEvent	BeginBatchEdit

1644603458143	PolyGesture	InputEvent	BeginBatchEdit

1644603458144	PolyGesture	InputEvent	BeginBatchEdit

1644603458145	PolyGesture	InputEvent	BeginBatchEdit

1644603458145	PolyGesture	InputEvent	BeginBatchEdit

1644603458169	PolyGesture	InputEvent	BeginBatchEdit

1644603458171	PolyGesture	InputEvent	BeginBatchEdit

1644603458173	PolyGesture	InputEvent	BeginBatchEdit

1644603458174	PolyGesture	InputEvent	BeginBatchEdit

1644603458176	PolyGesture	InputEvent	BeginBatchEdit

1644603458177	PolyGesture	InputEvent	BeginBatchEdit

1644603458178	PolyGesture	InputEvent	BeginBatchEdit

1644603458178	PolyGesture	InputEvent	BeginBatchEdit

1644603458202	PolyGesture	InputEvent	BeginBatchEdit

1644603458204	PolyGesture	InputEvent	BeginBatchEdit

1644603458221	PolyGesture	InputEvent	BeginBatchEdit

1644603458222	PolyGesture	InputEvent	BeginBatchEdit

1644603458408	PolyGesture	InputEvent	BeginBatchEdit

1644603458410	PolyGesture	InputEvent	BeginBatchEdit

1644603458617	PolyGesture	InputEvent	BeginBatchEdit

1644603458627	PolyGesture	InputEvent	SelectionChanged 0 0

1644603458629	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 532 532

1644603458635	PolyGesture	InputEvent	SelectionChanged 107 107

1644603458636	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 5 4

1644603458641	PolyGesture	InputEvent	SelectionChanged 107 107

1644603458653	PolyGesture	InputEvent	BeginBatchEdit

1644603458655	PolyGesture	InputEvent	BeginBatchEdit

1644603458656	PolyGesture	InputEvent	BeginBatchEdit

1644603458657	PolyGesture	InputEvent	BeginBatchEdit

1644603458674	PolyGesture	InputEvent	BeginBatchEdit

1644603458675	PolyGesture	InputEvent	BeginBatchEdit

1644603458675	PolyGesture	InputEvent	BeginBatchEdit

1644603458676	PolyGesture	InputEvent	BeginBatchEdit

1644603458686	PolyGesture	InputEvent	BeginBatchEdit

1644603458686	PolyGesture	InputEvent	BeginBatchEdit

1644603458688	PolyGesture	InputEvent	BeginBatchEdit

1644603458690	PolyGesture	InputEvent	BeginBatchEdit

1644603458691	PolyGesture	InputEvent	BeginBatchEdit

1644603458692	PolyGesture	InputEvent	BeginBatchEdit

1644603458692	PolyGesture	InputEvent	BeginBatchEdit

1644603458693	PolyGesture	InputEvent	BeginBatchEdit

1644603458712	PolyGesture	InputEvent	BeginBatchEdit

1644603458712	PolyGesture	InputEvent	BeginBatchEdit

1644603458713	PolyGesture	InputEvent	BeginBatchEdit

1644603458734	PolyGesture	InputEvent	BeginBatchEdit

1644603458915	PolyGesture	InputEvent	BeginBatchEdit

1644603458918	PolyGesture	InputEvent	BeginBatchEdit

1644603459134	PolyGesture	InputEvent	BeginBatchEdit

1644603459143	PolyGesture	InputEvent	SelectionChanged 0 0

1644603459145	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 531 531

1644603459152	PolyGesture	InputEvent	SelectionChanged 106 106

1644603459153	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 4 3

1644603459158	PolyGesture	InputEvent	SelectionChanged 106 106

1644603459171	PolyGesture	InputEvent	BeginBatchEdit

1644603459172	PolyGesture	InputEvent	BeginBatchEdit

1644603459174	PolyGesture	InputEvent	BeginBatchEdit

1644603459174	PolyGesture	InputEvent	BeginBatchEdit

1644603459188	PolyGesture	InputEvent	BeginBatchEdit

1644603459189	PolyGesture	InputEvent	BeginBatchEdit

1644603459190	PolyGesture	InputEvent	BeginBatchEdit

1644603459190	PolyGesture	InputEvent	BeginBatchEdit

1644603459198	PolyGesture	InputEvent	BeginBatchEdit

1644603459199	PolyGesture	InputEvent	BeginBatchEdit

1644603459200	PolyGesture	InputEvent	BeginBatchEdit

1644603459202	PolyGesture	InputEvent	BeginBatchEdit

1644603459203	PolyGesture	InputEvent	BeginBatchEdit

1644603459204	PolyGesture	InputEvent	BeginBatchEdit

1644603459225	PolyGesture	InputEvent	BeginBatchEdit

1644603459226	PolyGesture	InputEvent	BeginBatchEdit

1644603459228	PolyGesture	InputEvent	BeginBatchEdit

1644603459229	PolyGesture	InputEvent	BeginBatchEdit

1644603459244	PolyGesture	InputEvent	BeginBatchEdit

1644603459244	PolyGesture	InputEvent	BeginBatchEdit

1644603459431	PolyGesture	InputEvent	BeginBatchEdit

1644603459432	PolyGesture	InputEvent	BeginBatchEdit

1644603459658	PolyGesture	InputEvent	BeginBatchEdit

1644603459667	PolyGesture	InputEvent	SelectionChanged 0 0

1644603459670	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 530 530

1644603459676	PolyGesture	InputEvent	SelectionChanged 105 105

1644603459677	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 3 2

1644603459683	PolyGesture	InputEvent	SelectionChanged 105 105

1644603459695	PolyGesture	InputEvent	BeginBatchEdit

1644603459697	PolyGesture	InputEvent	BeginBatchEdit

1644603459698	PolyGesture	InputEvent	BeginBatchEdit

1644603459710	PolyGesture	InputEvent	BeginBatchEdit

1644603459711	PolyGesture	InputEvent	BeginBatchEdit

1644603459711	PolyGesture	InputEvent	BeginBatchEdit

1644603459712	PolyGesture	InputEvent	BeginBatchEdit

1644603459721	PolyGesture	InputEvent	BeginBatchEdit

1644603459723	PolyGesture	InputEvent	BeginBatchEdit

1644603459723	PolyGesture	InputEvent	BeginBatchEdit

1644603459724	PolyGesture	InputEvent	BeginBatchEdit

1644603459725	PolyGesture	InputEvent	BeginBatchEdit

1644603459726	PolyGesture	InputEvent	BeginBatchEdit

1644603459727	PolyGesture	InputEvent	BeginBatchEdit

1644603459744	PolyGesture	InputEvent	BeginBatchEdit

1644603459745	PolyGesture	InputEvent	BeginBatchEdit

1644603459747	PolyGesture	InputEvent	BeginBatchEdit

1644603459748	PolyGesture	InputEvent	BeginBatchEdit

1644603459748	PolyGesture	InputEvent	BeginBatchEdit

1644603459749	PolyGesture	InputEvent	BeginBatchEdit

1644603459952	PolyGesture	InputEvent	BeginBatchEdit

1644603459954	PolyGesture	InputEvent	BeginBatchEdit

1644603460174	PolyGesture	InputEvent	BeginBatchEdit

1644603460183	PolyGesture	InputEvent	SelectionChanged 0 0

1644603460186	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf X round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 529 529

1644603460192	PolyGesture	InputEvent	SelectionChanged 104 104

1644603460193	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf X round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 2 1

1644603460199	PolyGesture	InputEvent	SelectionChanged 104 104

1644603460212	PolyGesture	InputEvent	BeginBatchEdit

1644603460214	PolyGesture	InputEvent	BeginBatchEdit

1644603460215	PolyGesture	InputEvent	BeginBatchEdit

1644603460215	PolyGesture	InputEvent	BeginBatchEdit

1644603460234	PolyGesture	InputEvent	BeginBatchEdit

1644603460235	PolyGesture	InputEvent	BeginBatchEdit

1644603460235	PolyGesture	InputEvent	BeginBatchEdit

1644603460236	PolyGesture	InputEvent	BeginBatchEdit

1644603460245	PolyGesture	InputEvent	BeginBatchEdit

1644603460246	PolyGesture	InputEvent	BeginBatchEdit

1644603460247	PolyGesture	InputEvent	BeginBatchEdit

1644603460247	PolyGesture	InputEvent	BeginBatchEdit

1644603460248	PolyGesture	InputEvent	BeginBatchEdit

1644603460253	PolyGesture	InputEvent	BeginBatchEdit

1644603460253	PolyGesture	InputEvent	BeginBatchEdit

1644603460254	PolyGesture	InputEvent	BeginBatchEdit

1644603460271	PolyGesture	InputEvent	BeginBatchEdit

1644603460272	PolyGesture	InputEvent	BeginBatchEdit

1644603460292	PolyGesture	InputEvent	BeginBatchEdit

1644603460293	PolyGesture	InputEvent	BeginBatchEdit

1644603460475	PolyGesture	InputEvent	BeginBatchEdit

1644603460477	PolyGesture	InputEvent	BeginBatchEdit

1644603460619	PolyGesture	InputEvent	BeginBatchEdit

1644603460627	PolyGesture	InputEvent	SelectionChanged 0 0

