1644605193780	PolyGesture	ExperimentStarted	Alessia
1644605199788	PolyGesture	InputEvent	SelectionChanged 0 0

1644605199789	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644605199918	PolyGesture	InputEvent	SelectionChanged 0 0

1644605199919	PolyGesture	InputEvent	SelectionChanged 0 0

1644605199919	PolyGesture	TaskStarted	Cancella carattere

1644605199920	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644605199924	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644605199927	PolyGesture	InputEvent	SelectionChanged 517 517

1644605199954	PolyGesture	InputEvent	FocusChanged true 130 null

1644605199981	PolyGesture	InputEvent	WindowFocusChanged true

1644605200932	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=721.0, y[0]=80.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30451847, downTime=30451847, deviceId=4, source=0x1002, displayId=0 }
1644605201012	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=721.0, y[0]=80.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30451929, downTime=30451847, deviceId=4, source=0x1002, displayId=0 }
1644605201022	PolyGesture	InputEvent	SelectionChanged 82 82

1644605201064	PolyGesture	InputEvent	BeginBatchEdit

1644605201065	PolyGesture	InputEvent	BeginBatchEdit

1644605201066	PolyGesture	InputEvent	BeginBatchEdit

1644605201074	PolyGesture	InputEvent	BeginBatchEdit

1644605201281	PolyGesture	InputEvent	BeginBatchEdit

1644605201283	PolyGesture	InputEvent	BeginBatchEdit

1644605201303	PolyGesture	InputEvent	BeginBatchEdit

1644605202588	PolyGesture	InputEvent	BeginBatchEdit

1644605202607	PolyGesture	InputEvent	SelectionChanged 0 0

1644605202610	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1644605202615	PolyGesture	InputEvent	SelectionChanged 81 81

1644605202617	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1644605202624	PolyGesture	InputEvent	SelectionChanged 81 81

1644605202635	PolyGesture	InputEvent	BeginBatchEdit

1644605202639	PolyGesture	InputEvent	BeginBatchEdit

1644605202639	PolyGesture	InputEvent	BeginBatchEdit

1644605202666	PolyGesture	InputEvent	BeginBatchEdit

1644605202666	PolyGesture	InputEvent	BeginBatchEdit

1644605202668	PolyGesture	InputEvent	BeginBatchEdit

1644605202669	PolyGesture	InputEvent	BeginBatchEdit

1644605202670	PolyGesture	InputEvent	BeginBatchEdit

1644605202670	PolyGesture	InputEvent	BeginBatchEdit

1644605202672	PolyGesture	InputEvent	BeginBatchEdit

1644605202673	PolyGesture	InputEvent	BeginBatchEdit

1644605202674	PolyGesture	InputEvent	BeginBatchEdit

1644605202873	PolyGesture	InputEvent	BeginBatchEdit

1644605202876	PolyGesture	InputEvent	BeginBatchEdit

1644605203259	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=748.0, y[0]=140.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30454176, downTime=30454176, deviceId=4, source=0x1002, displayId=0 }
1644605203337	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=748.0, y[0]=140.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30454262, downTime=30454176, deviceId=4, source=0x1002, displayId=0 }
1644605203343	PolyGesture	InputEvent	SelectionChanged 132 132

