1644515118499	PolyGesture	ExperimentStarted	Asia
1644515119461	PolyGesture	InputEvent	SelectionChanged 0 0

1644515119462	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644515119468	PolyGesture	InputEvent	SelectionChanged 0 0

1644515119469	PolyGesture	InputEvent	SelectionChanged 0 0

1644515119470	PolyGesture	TaskStarted	Cancella carattere

1644515119471	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644515119475	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644515119479	PolyGesture	InputEvent	SelectionChanged 517 517

1644515119496	PolyGesture	InputEvent	FocusChanged true 130 null

1644515119522	PolyGesture	InputEvent	WindowFocusChanged true

1644515119532	PolyGesture	InputEvent	BeginBatchEdit

1644515119533	PolyGesture	InputEvent	BeginBatchEdit

1644515120644	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=708.0, y[0]=165.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89314767, downTime=89314767, deviceId=6, source=0x1002, displayId=0 }
1644515120698	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=708.0, y[0]=165.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89314830, downTime=89314767, deviceId=6, source=0x1002, displayId=0 }
1644515120703	PolyGesture	InputEvent	SelectionChanged 81 81

1644515120723	PolyGesture	InputEvent	BeginBatchEdit

1644515120775	PolyGesture	InputEvent	BeginBatchEdit

1644515120775	PolyGesture	InputEvent	BeginBatchEdit

1644515120786	PolyGesture	InputEvent	BeginBatchEdit

