1644515598253	PolyGesture	ExperimentStarted	Asia
1644515599123	PolyGesture	InputEvent	SelectionChanged 0 0

1644515599123	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644515599205	PolyGesture	InputEvent	SelectionChanged 0 0

1644515599205	PolyGesture	InputEvent	SelectionChanged 0 0

1644515599206	PolyGesture	TaskStarted	Cancella carattere

1644515599206	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644515599209	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644515599212	PolyGesture	InputEvent	SelectionChanged 517 517

1644515599229	PolyGesture	InputEvent	FocusChanged true 130 null

1644515599251	PolyGesture	InputEvent	WindowFocusChanged true

1644515600306	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=445.0, y[0]=89.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89794430, downTime=89794430, deviceId=6, source=0x1002, displayId=0 }
1644515600340	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=445.0, y[0]=89.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89794471, downTime=89794430, deviceId=6, source=0x1002, displayId=0 }
1644515600350	PolyGesture	InputEvent	SelectionChanged 82 82

1644515600378	PolyGesture	InputEvent	BeginBatchEdit

1644515600378	PolyGesture	InputEvent	BeginBatchEdit

1644515600388	PolyGesture	InputEvent	BeginBatchEdit

1644515600395	PolyGesture	InputEvent	BeginBatchEdit

1644515600603	PolyGesture	InputEvent	BeginBatchEdit

1644515600604	PolyGesture	InputEvent	BeginBatchEdit

1644515600628	PolyGesture	InputEvent	BeginBatchEdit

1644515601858	PolyGesture	InputEvent	BeginBatchEdit

1644515601879	PolyGesture	InputEvent	SelectionChanged 0 0

