1644515440454	PolyGesture	ExperimentStarted	Asia
1644515441361	PolyGesture	InputEvent	SelectionChanged 0 0

1644515441362	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644515441493	PolyGesture	InputEvent	SelectionChanged 0 0

1644515441494	PolyGesture	InputEvent	SelectionChanged 0 0

1644515441495	PolyGesture	TaskStarted	Cancella carattere

1644515441495	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644515441498	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644515441501	PolyGesture	InputEvent	SelectionChanged 517 517

1644515441522	PolyGesture	InputEvent	FocusChanged true 130 null

1644515441547	PolyGesture	InputEvent	WindowFocusChanged true

1644515442595	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=743.0, y[0]=115.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89636717, downTime=89636717, deviceId=6, source=0x1002, displayId=0 }
1644515442621	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=743.0, y[0]=115.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89636752, downTime=89636717, deviceId=6, source=0x1002, displayId=0 }
1644515442627	PolyGesture	InputEvent	SelectionChanged 133 133

1644515442660	PolyGesture	InputEvent	BeginBatchEdit

1644515442661	PolyGesture	InputEvent	BeginBatchEdit

1644515442671	PolyGesture	InputEvent	BeginBatchEdit

1644515442705	PolyGesture	InputEvent	BeginBatchEdit

1644515442895	PolyGesture	InputEvent	BeginBatchEdit

1644515442896	PolyGesture	InputEvent	BeginBatchEdit

1644515442918	PolyGesture	InputEvent	BeginBatchEdit

1644515443550	PolyGesture	InputEvent	SelectionChanged 83 83

1644515443566	PolyGesture	InputEvent	BeginBatchEdit

1644515443575	PolyGesture	InputEvent	BeginBatchEdit

1644515443777	PolyGesture	InputEvent	BeginBatchEdit

1644515443782	PolyGesture	InputEvent	BeginBatchEdit

1644515443800	PolyGesture	InputEvent	BeginBatchEdit

1644515444120	PolyGesture	InputEvent	SelectionChanged 82 82

1644515444144	PolyGesture	InputEvent	BeginBatchEdit

1644515444154	PolyGesture	InputEvent	BeginBatchEdit

1644515444358	PolyGesture	InputEvent	BeginBatchEdit

1644515444359	PolyGesture	InputEvent	BeginBatchEdit

1644515445545	PolyGesture	InputEvent	BeginBatchEdit

1644515445559	PolyGesture	InputEvent	SelectionChanged 0 0

1644515445561	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1644515445565	PolyGesture	InputEvent	SelectionChanged 81 81

1644515445565	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1644515445569	PolyGesture	InputEvent	SelectionChanged 81 81

1644515445578	PolyGesture	InputEvent	BeginBatchEdit

1644515445582	PolyGesture	InputEvent	BeginBatchEdit

1644515445583	PolyGesture	InputEvent	BeginBatchEdit

1644515445584	PolyGesture	InputEvent	BeginBatchEdit

1644515445607	PolyGesture	InputEvent	BeginBatchEdit

1644515445609	PolyGesture	InputEvent	BeginBatchEdit

1644515445610	PolyGesture	InputEvent	BeginBatchEdit

1644515445611	PolyGesture	InputEvent	BeginBatchEdit

1644515445613	PolyGesture	InputEvent	BeginBatchEdit

1644515445614	PolyGesture	InputEvent	BeginBatchEdit

1644515445614	PolyGesture	InputEvent	BeginBatchEdit

1644515445633	PolyGesture	InputEvent	BeginBatchEdit

1644515445816	PolyGesture	InputEvent	BeginBatchEdit

1644515445819	PolyGesture	InputEvent	BeginBatchEdit

1644515447081	PolyGesture	InputEvent	SelectionChanged 130 130

1644515447096	PolyGesture	InputEvent	BeginBatchEdit

1644515447099	PolyGesture	InputEvent	BeginBatchEdit

1644515447299	PolyGesture	InputEvent	BeginBatchEdit

1644515447302	PolyGesture	InputEvent	BeginBatchEdit

1644515447316	PolyGesture	InputEvent	BeginBatchEdit

1644515447629	PolyGesture	InputEvent	SelectionChanged 131 131

1644515447651	PolyGesture	InputEvent	BeginBatchEdit

1644515447653	PolyGesture	InputEvent	BeginBatchEdit

1644515447857	PolyGesture	InputEvent	BeginBatchEdit

1644515447859	PolyGesture	InputEvent	BeginBatchEdit

1644515447958	PolyGesture	InputEvent	SelectionChanged 132 132

1644515447973	PolyGesture	InputEvent	BeginBatchEdit

1644515447976	PolyGesture	InputEvent	BeginBatchEdit

1644515448181	PolyGesture	InputEvent	BeginBatchEdit

1644515448182	PolyGesture	InputEvent	BeginBatchEdit

1644515448875	PolyGesture	InputEvent	BeginBatchEdit

1644515448888	PolyGesture	InputEvent	SelectionChanged 0 0

1644515448890	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1644515448896	PolyGesture	InputEvent	SelectionChanged 131 131

1644515448897	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1644515448902	PolyGesture	InputEvent	SelectionChanged 131 131

1644515448913	PolyGesture	InputEvent	BeginBatchEdit

1644515448916	PolyGesture	InputEvent	BeginBatchEdit

1644515448917	PolyGesture	InputEvent	BeginBatchEdit

1644515448935	PolyGesture	InputEvent	BeginBatchEdit

1644515448936	PolyGesture	InputEvent	BeginBatchEdit

1644515448938	PolyGesture	InputEvent	BeginBatchEdit

1644515448940	PolyGesture	InputEvent	BeginBatchEdit

1644515448941	PolyGesture	InputEvent	BeginBatchEdit

1644515448942	PolyGesture	InputEvent	BeginBatchEdit

1644515448945	PolyGesture	InputEvent	BeginBatchEdit

1644515448945	PolyGesture	InputEvent	BeginBatchEdit

1644515448946	PolyGesture	InputEvent	BeginBatchEdit

1644515449145	PolyGesture	InputEvent	BeginBatchEdit

1644515449147	PolyGesture	InputEvent	BeginBatchEdit

1644515449479	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=970.0, y[0]=354.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89643608, downTime=89643608, deviceId=6, source=0x1002, displayId=0 }
1644515449515	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=970.0, y[0]=354.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89643647, downTime=89643608, deviceId=6, source=0x1002, displayId=0 }
1644515449526	PolyGesture	InputEvent	SelectionChanged 312 312

1644515449551	PolyGesture	InputEvent	BeginBatchEdit

1644515449591	PolyGesture	InputEvent	BeginBatchEdit

1644515449798	PolyGesture	InputEvent	BeginBatchEdit

1644515449799	PolyGesture	InputEvent	BeginBatchEdit

1644515449825	PolyGesture	InputEvent	BeginBatchEdit

1644515450376	PolyGesture	InputEvent	BeginBatchEdit

1644515450393	PolyGesture	InputEvent	SelectionChanged 0 0

1644515450396	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644515450404	PolyGesture	InputEvent	SelectionChanged 311 311

1644515450406	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1644515450413	PolyGesture	InputEvent	SelectionChanged 311 311

1644515450429	PolyGesture	InputEvent	BeginBatchEdit

1644515450430	PolyGesture	InputEvent	BeginBatchEdit

1644515450431	PolyGesture	InputEvent	BeginBatchEdit

1644515450449	PolyGesture	InputEvent	BeginBatchEdit

1644515450451	PolyGesture	InputEvent	BeginBatchEdit

1644515450452	PolyGesture	InputEvent	BeginBatchEdit

1644515450452	PolyGesture	InputEvent	BeginBatchEdit

1644515450453	PolyGesture	InputEvent	BeginBatchEdit

1644515450477	PolyGesture	InputEvent	BeginBatchEdit

1644515450478	PolyGesture	InputEvent	BeginBatchEdit

1644515450480	PolyGesture	InputEvent	BeginBatchEdit

1644515450481	PolyGesture	InputEvent	BeginBatchEdit

1644515450482	PolyGesture	InputEvent	BeginBatchEdit

1644515450483	PolyGesture	InputEvent	BeginBatchEdit

1644515450512	PolyGesture	InputEvent	BeginBatchEdit

1644515450513	PolyGesture	InputEvent	BeginBatchEdit

1644515450515	PolyGesture	InputEvent	BeginBatchEdit

1644515450516	PolyGesture	InputEvent	BeginBatchEdit

1644515450547	PolyGesture	InputEvent	BeginBatchEdit

1644515450548	PolyGesture	InputEvent	BeginBatchEdit

1644515450722	PolyGesture	InputEvent	BeginBatchEdit

1644515450724	PolyGesture	InputEvent	BeginBatchEdit

1644515451028	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=649.0, y[0]=539.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89645151, downTime=89645151, deviceId=6, source=0x1002, displayId=0 }
1644515451065	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=649.0, y[0]=539.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89645197, downTime=89645151, deviceId=6, source=0x1002, displayId=0 }
1644515451077	PolyGesture	InputEvent	SelectionChanged 435 435

1644515451115	PolyGesture	InputEvent	BeginBatchEdit

1644515451138	PolyGesture	InputEvent	BeginBatchEdit

1644515451346	PolyGesture	InputEvent	BeginBatchEdit

1644515451347	PolyGesture	InputEvent	BeginBatchEdit

1644515451374	PolyGesture	InputEvent	BeginBatchEdit

1644515451917	PolyGesture	InputEvent	SelectionChanged 436 436

1644515451940	PolyGesture	InputEvent	BeginBatchEdit

1644515451961	PolyGesture	InputEvent	BeginBatchEdit

1644515452165	PolyGesture	InputEvent	BeginBatchEdit

1644515452167	PolyGesture	InputEvent	BeginBatchEdit

1644515452651	PolyGesture	InputEvent	BeginBatchEdit

1644515452685	PolyGesture	InputEvent	SelectionChanged 0 0

1644515452686	PolyGesture	TaskCompleted	Cancella carattere in 11"191 seconds (at 89646819, effective time: 10"102)

***************************************


1644515452697	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1644515452703	PolyGesture	InputEvent	SelectionChanged 435 435

1644515452704	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1644515452710	PolyGesture	InputEvent	SelectionChanged 435 435

1644515452727	PolyGesture	InputEvent	BeginBatchEdit

1644515452777	PolyGesture	InputEvent	BeginBatchEdit

1644515452777	PolyGesture	InputEvent	BeginBatchEdit

1644515452779	PolyGesture	InputEvent	BeginBatchEdit

1644515452792	PolyGesture	InputEvent	BeginBatchEdit

1644515452794	PolyGesture	InputEvent	BeginBatchEdit

1644515452796	PolyGesture	InputEvent	BeginBatchEdit

1644515452798	PolyGesture	InputEvent	BeginBatchEdit

1644515452798	PolyGesture	InputEvent	BeginBatchEdit

1644515452799	PolyGesture	InputEvent	BeginBatchEdit

1644515452802	PolyGesture	InputEvent	BeginBatchEdit

1644515452803	PolyGesture	InputEvent	BeginBatchEdit

1644515453002	PolyGesture	InputEvent	BeginBatchEdit

1644515453003	PolyGesture	InputEvent	BeginBatchEdit

1644515453531	PolyGesture	InputEvent	BeginBatchEdit

1644515453547	PolyGesture	InputEvent	BeginBatchEdit

1644515453986	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=89648114, downTime=89648114, deviceId=-1, source=0x101, displayId=0 }

1644515453989	PolyGesture	InputEvent	BeginBatchEdit

1644515454036	PolyGesture	InputEvent	WindowFocusChanged false

1644515454071	PolyGesture	InputEvent	BeginBatchEdit

1644515454071	PolyGesture	InputEvent	BeginBatchEdit

1644515455024	PolyGesture	InputEvent	SelectionChanged 0 0

1644515455025	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644515455108	PolyGesture	InputEvent	SelectionChanged 0 0

1644515455109	PolyGesture	InputEvent	SelectionChanged 0 0

1644515455109	PolyGesture	TaskStarted	Cancella parola

1644515455109	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1644515455113	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1644515455116	PolyGesture	InputEvent	SelectionChanged 534 534

1644515455135	PolyGesture	InputEvent	FocusChanged true 130 null

1644515455162	PolyGesture	InputEvent	WindowFocusChanged true

1644515456082	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=277.0, y[0]=165.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89650205, downTime=89650205, deviceId=6, source=0x1002, displayId=0 }
1644515456134	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=277.0, y[0]=165.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89650266, downTime=89650205, deviceId=6, source=0x1002, displayId=0 }
1644515456146	PolyGesture	InputEvent	SelectionChanged 107 107

1644515456184	PolyGesture	InputEvent	BeginBatchEdit

1644515456184	PolyGesture	InputEvent	BeginBatchEdit

1644515456190	PolyGesture	InputEvent	BeginBatchEdit

1644515456200	PolyGesture	InputEvent	BeginBatchEdit

1644515456225	PolyGesture	InputEvent	TouchEvent (cursorPosition=107): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=278.0, y[0]=165.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89650350, downTime=89650350, deviceId=6, source=0x1002, displayId=0 }
1644515456239	PolyGesture	InputEvent	SelectionChanged 103 109

1644515456253	PolyGesture	InputEvent	BeginBatchEdit

1644515456255	PolyGesture	InputEvent	BeginBatchEdit

1644515456279	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=278.0, y[0]=165.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89650411, downTime=89650350, deviceId=6, source=0x1002, displayId=0 }
1644515456471	PolyGesture	InputEvent	BeginBatchEdit

1644515460178	PolyGesture	InputEvent	BeginBatchEdit

1644515460205	PolyGesture	InputEvent	SelectionChanged 109 109

1644515460216	PolyGesture	InputEvent	SelectionChanged 0 0

1644515460218	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1644515460224	PolyGesture	InputEvent	SelectionChanged 103 103

1644515460225	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1644515460230	PolyGesture	InputEvent	SelectionChanged 103 103

1644515460242	PolyGesture	InputEvent	BeginBatchEdit

1644515460246	PolyGesture	InputEvent	BeginBatchEdit

1644515460247	PolyGesture	InputEvent	BeginBatchEdit

1644515460253	PolyGesture	InputEvent	BeginBatchEdit

1644515460254	PolyGesture	InputEvent	BeginBatchEdit

1644515460255	PolyGesture	InputEvent	BeginBatchEdit

1644515460257	PolyGesture	InputEvent	BeginBatchEdit

1644515460458	PolyGesture	InputEvent	BeginBatchEdit

1644515461016	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=697.0, y[0]=337.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89655138, downTime=89655138, deviceId=6, source=0x1002, displayId=0 }
1644515461069	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=697.0, y[0]=337.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89655201, downTime=89655138, deviceId=6, source=0x1002, displayId=0 }
1644515461080	PolyGesture	InputEvent	SelectionChanged 296 296

1644515461105	PolyGesture	InputEvent	BeginBatchEdit

1644515461133	PolyGesture	InputEvent	BeginBatchEdit

1644515461328	PolyGesture	InputEvent	BeginBatchEdit

1644515461330	PolyGesture	InputEvent	BeginBatchEdit

1644515461357	PolyGesture	InputEvent	BeginBatchEdit

1644515461866	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=692.0, y[0]=322.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89655989, downTime=89655989, deviceId=6, source=0x1002, displayId=0 }
1644515461913	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=692.0, y[0]=322.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89656045, downTime=89655989, deviceId=6, source=0x1002, displayId=0 }
1644515461931	PolyGesture	InputEvent	SelectionChanged 257 257

1644515461957	PolyGesture	InputEvent	BeginBatchEdit

1644515461978	PolyGesture	InputEvent	BeginBatchEdit

1644515462176	PolyGesture	InputEvent	BeginBatchEdit

1644515462185	PolyGesture	InputEvent	BeginBatchEdit

1644515462213	PolyGesture	InputEvent	BeginBatchEdit

