1643970793618	PolyGesture	ExperimentStarted	Francesca
1643970794532	PolyGesture	InputEvent	SelectionChanged 0 0

1643970794533	PolyGesture	InputEvent	TextChanged '' 0 0 0

1643970794536	PolyGesture	InputEvent	SelectionChanged 0 0

1643970794537	PolyGesture	InputEvent	SelectionChanged 0 0

1643970794537	PolyGesture	TaskStarted	Cancella carattere

1643970794537	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1643970794540	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1643970794543	PolyGesture	InputEvent	SelectionChanged 517 517

1643970794554	PolyGesture	InputEvent	FocusChanged true 130 null

1643970794574	PolyGesture	InputEvent	WindowFocusChanged true

1643970794584	PolyGesture	InputEvent	BeginBatchEdit

1643970794585	PolyGesture	InputEvent	BeginBatchEdit

1643970795577	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=431.0, y[0]=124.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=81999349, downTime=81999349, deviceId=6, source=0x1002, displayId=0 }
1643970795603	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=431.0, y[0]=124.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=81999384, downTime=81999349, deviceId=6, source=0x1002, displayId=0 }
1643970795609	PolyGesture	InputEvent	SelectionChanged 81 81

1643970795631	PolyGesture	InputEvent	BeginBatchEdit

1643970795660	PolyGesture	InputEvent	BeginBatchEdit

1643970795660	PolyGesture	InputEvent	BeginBatchEdit

1643970795661	PolyGesture	InputEvent	BeginBatchEdit

1643970795687	PolyGesture	InputEvent	BeginBatchEdit

1643970795714	PolyGesture	InputEvent	BeginBatchEdit

1643970795720	PolyGesture	InputEvent	BeginBatchEdit

1643970795722	PolyGesture	InputEvent	BeginBatchEdit

1643970795724	PolyGesture	InputEvent	BeginBatchEdit

1643970795739	PolyGesture	InputEvent	BeginBatchEdit

1643970795740	PolyGesture	InputEvent	BeginBatchEdit

1643970795954	PolyGesture	InputEvent	BeginBatchEdit

1643970795955	PolyGesture	InputEvent	BeginBatchEdit

1643970796658	PolyGesture	InputEvent	SelectionChanged 82 82

1643970796671	PolyGesture	InputEvent	BeginBatchEdit

1643970796679	PolyGesture	InputEvent	BeginBatchEdit

1643970796733	PolyGesture	InputEvent	SelectionChanged 83 83

1643970796746	PolyGesture	InputEvent	BeginBatchEdit

1643970796755	PolyGesture	InputEvent	BeginBatchEdit

1643970796956	PolyGesture	InputEvent	BeginBatchEdit

1643970796959	PolyGesture	InputEvent	BeginBatchEdit

1643970797138	PolyGesture	InputEvent	SelectionChanged 82 82

1643970797151	PolyGesture	InputEvent	BeginBatchEdit

1643970797161	PolyGesture	InputEvent	BeginBatchEdit

1643970797362	PolyGesture	InputEvent	BeginBatchEdit

1643970797364	PolyGesture	InputEvent	BeginBatchEdit

1643970797937	PolyGesture	InputEvent	BeginBatchEdit

1643970797965	PolyGesture	InputEvent	SelectionChanged 0 0

1643970797967	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1643970797973	PolyGesture	InputEvent	SelectionChanged 81 81

1643970797974	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1643970797978	PolyGesture	InputEvent	SelectionChanged 81 81

1643970797987	PolyGesture	InputEvent	BeginBatchEdit

1643970797991	PolyGesture	InputEvent	BeginBatchEdit

1643970797993	PolyGesture	InputEvent	BeginBatchEdit

1643970798005	PolyGesture	InputEvent	BeginBatchEdit

1643970798006	PolyGesture	InputEvent	BeginBatchEdit

1643970798008	PolyGesture	InputEvent	BeginBatchEdit

1643970798009	PolyGesture	InputEvent	BeginBatchEdit

1643970798011	PolyGesture	InputEvent	BeginBatchEdit

1643970798012	PolyGesture	InputEvent	BeginBatchEdit

1643970798014	PolyGesture	InputEvent	BeginBatchEdit

1643970798014	PolyGesture	InputEvent	BeginBatchEdit

1643970798015	PolyGesture	InputEvent	BeginBatchEdit

1643970798215	PolyGesture	InputEvent	BeginBatchEdit

1643970798217	PolyGesture	InputEvent	BeginBatchEdit

1643970798568	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=379.0, y[0]=193.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82002338, downTime=82002338, deviceId=6, source=0x1002, displayId=0 }
1643970798603	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=379.0, y[0]=193.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82002384, downTime=82002338, deviceId=6, source=0x1002, displayId=0 }
1643970798613	PolyGesture	InputEvent	SelectionChanged 133 133

1643970798635	PolyGesture	InputEvent	BeginBatchEdit

1643970798661	PolyGesture	InputEvent	BeginBatchEdit

1643970798862	PolyGesture	InputEvent	BeginBatchEdit

1643970798873	PolyGesture	InputEvent	BeginBatchEdit

1643970798894	PolyGesture	InputEvent	BeginBatchEdit

1643970799384	PolyGesture	InputEvent	SelectionChanged 132 132

1643970799406	PolyGesture	InputEvent	BeginBatchEdit

1643970799417	PolyGesture	InputEvent	BeginBatchEdit

1643970799620	PolyGesture	InputEvent	BeginBatchEdit

1643970799622	PolyGesture	InputEvent	BeginBatchEdit

1643970800315	PolyGesture	InputEvent	BeginBatchEdit

1643970800339	PolyGesture	InputEvent	SelectionChanged 0 0

1643970800341	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1643970800347	PolyGesture	InputEvent	SelectionChanged 131 131

1643970800347	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1643970800351	PolyGesture	InputEvent	SelectionChanged 131 131

1643970800359	PolyGesture	InputEvent	BeginBatchEdit

1643970800363	PolyGesture	InputEvent	BeginBatchEdit

1643970800364	PolyGesture	InputEvent	BeginBatchEdit

1643970800376	PolyGesture	InputEvent	BeginBatchEdit

1643970800376	PolyGesture	InputEvent	BeginBatchEdit

1643970800378	PolyGesture	InputEvent	BeginBatchEdit

1643970800379	PolyGesture	InputEvent	BeginBatchEdit

1643970800380	PolyGesture	InputEvent	BeginBatchEdit

1643970800382	PolyGesture	InputEvent	BeginBatchEdit

1643970800386	PolyGesture	InputEvent	BeginBatchEdit

1643970800386	PolyGesture	InputEvent	BeginBatchEdit

1643970800396	PolyGesture	InputEvent	BeginBatchEdit

1643970800586	PolyGesture	InputEvent	BeginBatchEdit

1643970800587	PolyGesture	InputEvent	BeginBatchEdit

1643970801027	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=762.0, y[0]=308.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82004799, downTime=82004799, deviceId=6, source=0x1002, displayId=0 }
1643970801074	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=762.0, y[0]=308.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82004854, downTime=82004799, deviceId=6, source=0x1002, displayId=0 }
1643970801084	PolyGesture	InputEvent	SelectionChanged 313 313

1643970801110	PolyGesture	InputEvent	BeginBatchEdit

1643970801139	PolyGesture	InputEvent	BeginBatchEdit

1643970801346	PolyGesture	InputEvent	BeginBatchEdit

1643970801347	PolyGesture	InputEvent	BeginBatchEdit

1643970801367	PolyGesture	InputEvent	BeginBatchEdit

1643970802005	PolyGesture	InputEvent	SelectionChanged 312 312

1643970802025	PolyGesture	InputEvent	BeginBatchEdit

1643970802038	PolyGesture	InputEvent	BeginBatchEdit

1643970802081	PolyGesture	InputEvent	SelectionChanged 311 311

1643970802093	PolyGesture	InputEvent	BeginBatchEdit

1643970802105	PolyGesture	InputEvent	BeginBatchEdit

1643970802306	PolyGesture	InputEvent	BeginBatchEdit

1643970802308	PolyGesture	InputEvent	BeginBatchEdit

1643970802326	PolyGesture	InputEvent	BeginBatchEdit

1643970802439	PolyGesture	InputEvent	SelectionChanged 312 312

1643970802454	PolyGesture	InputEvent	BeginBatchEdit

1643970802464	PolyGesture	InputEvent	BeginBatchEdit

1643970802665	PolyGesture	InputEvent	BeginBatchEdit

1643970802667	PolyGesture	InputEvent	BeginBatchEdit

1643970803434	PolyGesture	InputEvent	BeginBatchEdit

1643970803452	PolyGesture	InputEvent	SelectionChanged 0 0

1643970803454	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1643970803458	PolyGesture	InputEvent	SelectionChanged 311 311

1643970803459	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1643970803463	PolyGesture	InputEvent	SelectionChanged 311 311

