1643971176204	PolyGesture	ExperimentStarted	Francesca
1643971177113	PolyGesture	InputEvent	SelectionChanged 0 0

1643971177114	PolyGesture	InputEvent	TextChanged '' 0 0 0

1643971177198	PolyGesture	InputEvent	SelectionChanged 0 0

1643971177198	PolyGesture	InputEvent	SelectionChanged 0 0

1643971177199	PolyGesture	TaskStarted	Cancella carattere

1643971177199	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1643971177202	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1643971177204	PolyGesture	InputEvent	SelectionChanged 517 517

1643971177217	PolyGesture	InputEvent	FocusChanged true 130 null

1643971177242	PolyGesture	InputEvent	WindowFocusChanged true

1643971178313	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=446.0, y[0]=84.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82382085, downTime=82382085, deviceId=6, source=0x1002, displayId=0 }
1643971178373	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=446.0, y[0]=84.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82382154, downTime=82382085, deviceId=6, source=0x1002, displayId=0 }
1643971178383	PolyGesture	InputEvent	SelectionChanged 82 82

1643971178412	PolyGesture	InputEvent	BeginBatchEdit

1643971178424	PolyGesture	InputEvent	BeginBatchEdit

1643971178424	PolyGesture	InputEvent	BeginBatchEdit

1643971178432	PolyGesture	InputEvent	BeginBatchEdit

1643971178634	PolyGesture	InputEvent	BeginBatchEdit

1643971178645	PolyGesture	InputEvent	BeginBatchEdit

1643971178670	PolyGesture	InputEvent	BeginBatchEdit

1643971179557	PolyGesture	InputEvent	BeginBatchEdit

1643971179576	PolyGesture	InputEvent	SelectionChanged 0 0

1643971179579	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1643971179583	PolyGesture	InputEvent	SelectionChanged 81 81

1643971179584	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1643971179587	PolyGesture	InputEvent	SelectionChanged 81 81

1643971179595	PolyGesture	InputEvent	BeginBatchEdit

1643971179600	PolyGesture	InputEvent	BeginBatchEdit

1643971179600	PolyGesture	InputEvent	BeginBatchEdit

1643971179601	PolyGesture	InputEvent	BeginBatchEdit

1643971179620	PolyGesture	InputEvent	BeginBatchEdit

1643971179623	PolyGesture	InputEvent	BeginBatchEdit

1643971179623	PolyGesture	InputEvent	BeginBatchEdit

1643971179626	PolyGesture	InputEvent	BeginBatchEdit

1643971179626	PolyGesture	InputEvent	BeginBatchEdit

1643971179629	PolyGesture	InputEvent	BeginBatchEdit

1643971179630	PolyGesture	InputEvent	BeginBatchEdit

1643971179645	PolyGesture	InputEvent	BeginBatchEdit

1643971179830	PolyGesture	InputEvent	BeginBatchEdit

1643971179832	PolyGesture	InputEvent	BeginBatchEdit

1643971180191	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=348.0, y[0]=133.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82383963, downTime=82383963, deviceId=6, source=0x1002, displayId=0 }
