1644485033445	PolyGesture	ExperimentStarted	Grazia
1644485037075	PolyGesture	InputEvent	SelectionChanged 0 0

1644485037076	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644485037080	PolyGesture	InputEvent	SelectionChanged 0 0

1644485037081	PolyGesture	InputEvent	SelectionChanged 0 0

1644485037081	PolyGesture	TaskStarted	Cancella parola

1644485037082	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1644485037086	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1644485037091	PolyGesture	InputEvent	SelectionChanged 534 534

1644485037110	PolyGesture	InputEvent	FocusChanged true 130 null

1644485037133	PolyGesture	InputEvent	WindowFocusChanged true

1644485037143	PolyGesture	InputEvent	BeginBatchEdit

1644485037143	PolyGesture	InputEvent	BeginBatchEdit

1644485038340	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=328.0, y[0]=176.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60726520, downTime=60726520, deviceId=6, source=0x1002, displayId=0 }
1644485038355	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=328.0, y[0]=176.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60726547, downTime=60726520, deviceId=6, source=0x1002, displayId=0 }
1644485038359	PolyGesture	InputEvent	SelectionChanged 108 108

1644485038376	PolyGesture	InputEvent	BeginBatchEdit

1644485038436	PolyGesture	InputEvent	BeginBatchEdit

1644485038436	PolyGesture	InputEvent	BeginBatchEdit

1644485038437	PolyGesture	InputEvent	BeginBatchEdit

1644485038437	PolyGesture	InputEvent	BeginBatchEdit

1644485038493	PolyGesture	InputEvent	BeginBatchEdit

1644485038518	PolyGesture	InputEvent	BeginBatchEdit

1644485038565	PolyGesture	InputEvent	BeginBatchEdit

1644485038565	PolyGesture	InputEvent	BeginBatchEdit

1644485038566	PolyGesture	InputEvent	BeginBatchEdit

1644485038578	PolyGesture	InputEvent	BeginBatchEdit

1644485038743	PolyGesture	InputEvent	BeginBatchEdit

1644485038745	PolyGesture	InputEvent	BeginBatchEdit

1644485040168	PolyGesture	InputEvent	TouchEvent (cursorPosition=108): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=321.0, y[0]=189.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60728358, downTime=60728358, deviceId=6, source=0x1002, displayId=0 }
1644485040194	PolyGesture	InputEvent	TouchEvent (cursorPosition=108): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=321.0, y[0]=189.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60728392, downTime=60728358, deviceId=6, source=0x1002, displayId=0 }
1644485041026	PolyGesture	InputEvent	SelectionChanged 109 109

1644485041041	PolyGesture	InputEvent	BeginBatchEdit

1644485041051	PolyGesture	InputEvent	BeginBatchEdit

1644485041252	PolyGesture	InputEvent	BeginBatchEdit

1644485041254	PolyGesture	InputEvent	BeginBatchEdit

1644485041872	PolyGesture	InputEvent	BeginBatchEdit

1644485041898	PolyGesture	InputEvent	SelectionChanged 0 0

1644485041900	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 533 533

1644485041907	PolyGesture	InputEvent	SelectionChanged 108 108

1644485041908	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 5

1644485041913	PolyGesture	InputEvent	SelectionChanged 108 108

1644485041928	PolyGesture	InputEvent	BeginBatchEdit

1644485041930	PolyGesture	InputEvent	BeginBatchEdit

1644485041930	PolyGesture	InputEvent	BeginBatchEdit

1644485041945	PolyGesture	InputEvent	BeginBatchEdit

1644485041946	PolyGesture	InputEvent	BeginBatchEdit

1644485041946	PolyGesture	InputEvent	BeginBatchEdit

1644485041947	PolyGesture	InputEvent	BeginBatchEdit

1644485041947	PolyGesture	InputEvent	BeginBatchEdit

1644485041958	PolyGesture	InputEvent	BeginBatchEdit

1644485041959	PolyGesture	InputEvent	BeginBatchEdit

1644485041960	PolyGesture	InputEvent	BeginBatchEdit

1644485041961	PolyGesture	InputEvent	BeginBatchEdit

1644485041962	PolyGesture	InputEvent	BeginBatchEdit

1644485041962	PolyGesture	InputEvent	BeginBatchEdit

1644485041962	PolyGesture	InputEvent	BeginBatchEdit

1644485041981	PolyGesture	InputEvent	BeginBatchEdit

1644485041982	PolyGesture	InputEvent	BeginBatchEdit

1644485041983	PolyGesture	InputEvent	BeginBatchEdit

1644485041984	PolyGesture	InputEvent	BeginBatchEdit

1644485042005	PolyGesture	InputEvent	BeginBatchEdit

1644485042036	PolyGesture	InputEvent	BeginBatchEdit

1644485042038	PolyGesture	InputEvent	BeginBatchEdit

1644485042040	PolyGesture	InputEvent	BeginBatchEdit

1644485042048	PolyGesture	InputEvent	SelectionChanged 0 0

1644485042052	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 532 532

1644485042058	PolyGesture	InputEvent	SelectionChanged 107 107

1644485042059	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 5 4

1644485042065	PolyGesture	InputEvent	SelectionChanged 107 107

1644485042078	PolyGesture	InputEvent	BeginBatchEdit

1644485042080	PolyGesture	InputEvent	BeginBatchEdit

1644485042088	PolyGesture	InputEvent	BeginBatchEdit

1644485042102	PolyGesture	InputEvent	BeginBatchEdit

1644485042102	PolyGesture	InputEvent	BeginBatchEdit

1644485042103	PolyGesture	InputEvent	BeginBatchEdit

1644485042103	PolyGesture	InputEvent	BeginBatchEdit

1644485042103	PolyGesture	InputEvent	BeginBatchEdit

1644485042113	PolyGesture	InputEvent	BeginBatchEdit

1644485042113	PolyGesture	InputEvent	BeginBatchEdit

1644485042114	PolyGesture	InputEvent	BeginBatchEdit

1644485042115	PolyGesture	InputEvent	BeginBatchEdit

1644485042117	PolyGesture	InputEvent	BeginBatchEdit

1644485042118	PolyGesture	InputEvent	BeginBatchEdit

1644485042138	PolyGesture	InputEvent	BeginBatchEdit

1644485042138	PolyGesture	InputEvent	BeginBatchEdit

1644485042140	PolyGesture	InputEvent	BeginBatchEdit

1644485042141	PolyGesture	InputEvent	BeginBatchEdit

1644485042159	PolyGesture	InputEvent	BeginBatchEdit

1644485042160	PolyGesture	InputEvent	BeginBatchEdit

1644485042204	PolyGesture	InputEvent	BeginBatchEdit

1644485042206	PolyGesture	InputEvent	BeginBatchEdit

1644485042231	PolyGesture	InputEvent	BeginBatchEdit

1644485042236	PolyGesture	InputEvent	SelectionChanged 0 0

1644485042237	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 531 531

1644485042241	PolyGesture	InputEvent	SelectionChanged 106 106

1644485042242	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 4 3

1644485042246	PolyGesture	InputEvent	SelectionChanged 106 106

1644485042259	PolyGesture	InputEvent	BeginBatchEdit

1644485042261	PolyGesture	InputEvent	BeginBatchEdit

1644485042264	PolyGesture	InputEvent	BeginBatchEdit

1644485042280	PolyGesture	InputEvent	BeginBatchEdit

1644485042281	PolyGesture	InputEvent	BeginBatchEdit

1644485042281	PolyGesture	InputEvent	BeginBatchEdit

1644485042282	PolyGesture	InputEvent	BeginBatchEdit

1644485042282	PolyGesture	InputEvent	BeginBatchEdit

1644485042291	PolyGesture	InputEvent	BeginBatchEdit

1644485042292	PolyGesture	InputEvent	BeginBatchEdit

