1644484864322	PolyGesture	ExperimentStarted	Grazia
1644484865376	PolyGesture	InputEvent	SelectionChanged 0 0

1644484865377	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644484865435	PolyGesture	InputEvent	SelectionChanged 0 0

1644484865436	PolyGesture	InputEvent	SelectionChanged 0 0

1644484865437	PolyGesture	TaskStarted	Cancella carattere

1644484865437	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644484865441	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644484865445	PolyGesture	InputEvent	SelectionChanged 517 517

1644484865457	PolyGesture	InputEvent	FocusChanged true 130 null

1644484865479	PolyGesture	InputEvent	WindowFocusChanged true

1644484866825	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=452.0, y[0]=65.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60555015, downTime=60555015, deviceId=6, source=0x1002, displayId=0 }
1644484866858	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=452.0, y[0]=65.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60555056, downTime=60555015, deviceId=6, source=0x1002, displayId=0 }
1644484866869	PolyGesture	InputEvent	SelectionChanged 82 82

1644484866894	PolyGesture	InputEvent	BeginBatchEdit

1644484866894	PolyGesture	InputEvent	BeginBatchEdit

1644484866905	PolyGesture	InputEvent	BeginBatchEdit

1644484866914	PolyGesture	InputEvent	BeginBatchEdit

1644484867121	PolyGesture	InputEvent	BeginBatchEdit

1644484867122	PolyGesture	InputEvent	BeginBatchEdit

1644484867144	PolyGesture	InputEvent	BeginBatchEdit

1644484867977	PolyGesture	InputEvent	BeginBatchEdit

1644484867992	PolyGesture	InputEvent	SelectionChanged 0 0

1644484867994	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1644484867998	PolyGesture	InputEvent	SelectionChanged 81 81

1644484867999	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1644484868004	PolyGesture	InputEvent	SelectionChanged 81 81

1644484868012	PolyGesture	InputEvent	BeginBatchEdit

1644484868016	PolyGesture	InputEvent	BeginBatchEdit

1644484868017	PolyGesture	InputEvent	BeginBatchEdit

1644484868039	PolyGesture	InputEvent	BeginBatchEdit

1644484868039	PolyGesture	InputEvent	BeginBatchEdit

1644484868042	PolyGesture	InputEvent	BeginBatchEdit

1644484868042	PolyGesture	InputEvent	BeginBatchEdit

1644484868044	PolyGesture	InputEvent	BeginBatchEdit

1644484868046	PolyGesture	InputEvent	BeginBatchEdit

1644484868048	PolyGesture	InputEvent	BeginBatchEdit

1644484868049	PolyGesture	InputEvent	BeginBatchEdit

1644484868065	PolyGesture	InputEvent	BeginBatchEdit

1644484868250	PolyGesture	InputEvent	BeginBatchEdit

1644484868252	PolyGesture	InputEvent	BeginBatchEdit

1644484868800	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=353.0, y[0]=119.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60556989, downTime=60556989, deviceId=6, source=0x1002, displayId=0 }
1644484868846	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=353.0, y[0]=119.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60557044, downTime=60556989, deviceId=6, source=0x1002, displayId=0 }
1644484868858	PolyGesture	InputEvent	SelectionChanged 131 131

1644484868888	PolyGesture	InputEvent	BeginBatchEdit

1644484868912	PolyGesture	InputEvent	BeginBatchEdit

1644484869115	PolyGesture	InputEvent	BeginBatchEdit

1644484869116	PolyGesture	InputEvent	BeginBatchEdit

1644484869139	PolyGesture	InputEvent	BeginBatchEdit

1644484869560	PolyGesture	InputEvent	SelectionChanged 132 132

1644484869584	PolyGesture	InputEvent	BeginBatchEdit

1644484869594	PolyGesture	InputEvent	BeginBatchEdit

1644484869796	PolyGesture	InputEvent	BeginBatchEdit

1644484869798	PolyGesture	InputEvent	BeginBatchEdit

1644484870279	PolyGesture	InputEvent	BeginBatchEdit

1644484870309	PolyGesture	InputEvent	SelectionChanged 0 0

1644484870310	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1644484870316	PolyGesture	InputEvent	SelectionChanged 131 131

1644484870317	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1644484870321	PolyGesture	InputEvent	SelectionChanged 131 131

1644484870329	PolyGesture	InputEvent	BeginBatchEdit

1644484870333	PolyGesture	InputEvent	BeginBatchEdit

1644484870334	PolyGesture	InputEvent	BeginBatchEdit

1644484870335	PolyGesture	InputEvent	BeginBatchEdit

1644484870357	PolyGesture	InputEvent	BeginBatchEdit

1644484870359	PolyGesture	InputEvent	BeginBatchEdit

1644484870360	PolyGesture	InputEvent	BeginBatchEdit

1644484870361	PolyGesture	InputEvent	BeginBatchEdit

1644484870363	PolyGesture	InputEvent	BeginBatchEdit

1644484870365	PolyGesture	InputEvent	BeginBatchEdit

1644484870367	PolyGesture	InputEvent	BeginBatchEdit

1644484870368	PolyGesture	InputEvent	BeginBatchEdit

1644484870567	PolyGesture	InputEvent	BeginBatchEdit

1644484870569	PolyGesture	InputEvent	BeginBatchEdit

1644484870977	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=736.0, y[0]=259.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60559167, downTime=60559167, deviceId=6, source=0x1002, displayId=0 }
1644484871016	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=736.0, y[0]=259.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60559215, downTime=60559167, deviceId=6, source=0x1002, displayId=0 }
1644484871026	PolyGesture	InputEvent	SelectionChanged 312 312

1644484871049	PolyGesture	InputEvent	BeginBatchEdit

1644484871082	PolyGesture	InputEvent	BeginBatchEdit

1644484871287	PolyGesture	InputEvent	BeginBatchEdit

1644484871288	PolyGesture	InputEvent	BeginBatchEdit

1644484871310	PolyGesture	InputEvent	BeginBatchEdit

1644484871901	PolyGesture	InputEvent	BeginBatchEdit

1644484871927	PolyGesture	InputEvent	SelectionChanged 0 0

1644484871929	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644484871938	PolyGesture	InputEvent	SelectionChanged 311 311

1644484871940	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1644484871947	PolyGesture	InputEvent	SelectionChanged 311 311

1644484871963	PolyGesture	InputEvent	BeginBatchEdit

1644484871965	PolyGesture	InputEvent	BeginBatchEdit

1644484871966	PolyGesture	InputEvent	BeginBatchEdit

1644484871967	PolyGesture	InputEvent	BeginBatchEdit

1644484871985	PolyGesture	InputEvent	BeginBatchEdit

1644484871985	PolyGesture	InputEvent	BeginBatchEdit

1644484871986	PolyGesture	InputEvent	BeginBatchEdit

1644484871986	PolyGesture	InputEvent	BeginBatchEdit

1644484871995	PolyGesture	InputEvent	BeginBatchEdit

1644484871995	PolyGesture	InputEvent	BeginBatchEdit

1644484871996	PolyGesture	InputEvent	BeginBatchEdit

1644484871998	PolyGesture	InputEvent	BeginBatchEdit

1644484872000	PolyGesture	InputEvent	BeginBatchEdit

1644484872000	PolyGesture	InputEvent	BeginBatchEdit

1644484872001	PolyGesture	InputEvent	BeginBatchEdit

1644484872002	PolyGesture	InputEvent	BeginBatchEdit

1644484872022	PolyGesture	InputEvent	BeginBatchEdit

1644484872022	PolyGesture	InputEvent	BeginBatchEdit

1644484872023	PolyGesture	InputEvent	BeginBatchEdit

1644484872043	PolyGesture	InputEvent	BeginBatchEdit

