1644605828448	PolyGesture	ExperimentStarted	Marco
1644605829573	PolyGesture	InputEvent	SelectionChanged 0 0

1644605829574	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644605829690	PolyGesture	InputEvent	SelectionChanged 0 0

1644605829691	PolyGesture	InputEvent	SelectionChanged 0 0

1644605829691	PolyGesture	TaskStarted	Cancella carattere

1644605829692	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644605829695	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644605829699	PolyGesture	InputEvent	SelectionChanged 517 517

1644605829709	PolyGesture	InputEvent	FocusChanged true 130 null

1644605829727	PolyGesture	InputEvent	WindowFocusChanged true

1644605831176	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=712.0, y[0]=82.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31082091, downTime=31082091, deviceId=4, source=0x1002, displayId=0 }
1644605831236	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=712.0, y[0]=82.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31082161, downTime=31082091, deviceId=4, source=0x1002, displayId=0 }
1644605831247	PolyGesture	InputEvent	SelectionChanged 81 81

1644605831278	PolyGesture	InputEvent	BeginBatchEdit

1644605831278	PolyGesture	InputEvent	BeginBatchEdit

1644605831289	PolyGesture	InputEvent	BeginBatchEdit

1644605831300	PolyGesture	InputEvent	BeginBatchEdit

1644605831508	PolyGesture	InputEvent	BeginBatchEdit

1644605831510	PolyGesture	InputEvent	BeginBatchEdit

1644605831531	PolyGesture	InputEvent	BeginBatchEdit

1644605832299	PolyGesture	InputEvent	SelectionChanged 82 82

1644605832327	PolyGesture	InputEvent	BeginBatchEdit

1644605832344	PolyGesture	InputEvent	BeginBatchEdit

1644605832547	PolyGesture	InputEvent	BeginBatchEdit

1644605832548	PolyGesture	InputEvent	BeginBatchEdit

