1647341796898	PolyGesture	ExperimentStarted	Marco
1647341801540	PolyGesture	InputEvent	SelectionChanged 0 0

1647341801541	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647341801545	PolyGesture	InputEvent	SelectionChanged 0 0

1647341801546	PolyGesture	InputEvent	SelectionChanged 0 0

1647341801547	PolyGesture	TaskStarted	Cancella carattere

1647341801547	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647341801551	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647341801554	PolyGesture	InputEvent	SelectionChanged 517 517

1647341801572	PolyGesture	InputEvent	FocusChanged true 130 null

1647341801594	PolyGesture	InputEvent	WindowFocusChanged true

1647341801600	PolyGesture	InputEvent	BeginBatchEdit

1647341801601	PolyGesture	InputEvent	BeginBatchEdit

1647341802658	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=712.0, y[0]=142.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423791848, downTime=423791848, deviceId=6, source=0x1002, displayId=0 }
1647341802758	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=712.0, y[0]=142.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423791959, downTime=423791848, deviceId=6, source=0x1002, displayId=0 }
1647341802766	PolyGesture	InputEvent	SelectionChanged 81 81

1647341802783	PolyGesture	InputEvent	BeginBatchEdit

1647341802846	PolyGesture	InputEvent	BeginBatchEdit

1647341802846	PolyGesture	InputEvent	BeginBatchEdit

1647341802856	PolyGesture	InputEvent	BeginBatchEdit

1647341802909	PolyGesture	InputEvent	BeginBatchEdit

1647341803101	PolyGesture	InputEvent	BeginBatchEdit

1647341803682	PolyGesture	InputEvent	SelectionChanged 82 82

1647341803700	PolyGesture	InputEvent	BeginBatchEdit

1647341803709	PolyGesture	InputEvent	BeginBatchEdit

