1647342527213	PolyGesture	ExperimentStarted	Marco
1647342531536	PolyGesture	InputEvent	SelectionChanged 0 0

1647342531537	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647342531621	PolyGesture	InputEvent	SelectionChanged 0 0

1647342531622	PolyGesture	InputEvent	SelectionChanged 0 0

1647342531622	PolyGesture	TaskStarted	Cancella carattere

1647342531623	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647342531626	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647342531628	PolyGesture	InputEvent	SelectionChanged 517 517

1647342531646	PolyGesture	InputEvent	FocusChanged true 130 null

1647342531670	PolyGesture	InputEvent	WindowFocusChanged true

1647342532702	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=445.0, y[0]=78.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424521894, downTime=424521894, deviceId=6, source=0x1002, displayId=0 }
1647342532819	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=445.0, y[0]=78.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424522019, downTime=424521894, deviceId=6, source=0x1002, displayId=0 }
1647342532827	PolyGesture	InputEvent	SelectionChanged 82 82

1647342532864	PolyGesture	InputEvent	BeginBatchEdit

1647342532865	PolyGesture	InputEvent	BeginBatchEdit

1647342532865	PolyGesture	InputEvent	BeginBatchEdit

1647342532878	PolyGesture	InputEvent	BeginBatchEdit

1647342533089	PolyGesture	InputEvent	BeginBatchEdit

1647342533902	PolyGesture	InputEvent	BeginBatchEdit

1647342533917	PolyGesture	InputEvent	SelectionChanged 0 0

1647342533919	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXlen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 518 518

1647342533925	PolyGesture	InputEvent	SelectionChanged 83 83

