1647596442735	PolyGesture	ExperimentStarted	Paolo
1647596445967	PolyGesture	InputEvent	SelectionChanged 0 0

1647596445967	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647596445973	PolyGesture	InputEvent	SelectionChanged 0 0

1647596445973	PolyGesture	InputEvent	SelectionChanged 0 0

1647596445974	PolyGesture	TaskStarted	Cancella carattere

1647596445974	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647596445977	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647596445980	PolyGesture	InputEvent	SelectionChanged 517 517

1647596446000	PolyGesture	InputEvent	FocusChanged true 130 null

1647596446026	PolyGesture	InputEvent	WindowFocusChanged true

1647596446037	PolyGesture	InputEvent	BeginBatchEdit

1647596446038	PolyGesture	InputEvent	BeginBatchEdit

1647596446933	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=456.0, y[0]=136.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598937554, downTime=598937554, deviceId=6, source=0x1002, displayId=0 }
1647596446965	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=456.0, y[0]=136.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598937595, downTime=598937554, deviceId=6, source=0x1002, displayId=0 }
1647596446973	PolyGesture	InputEvent	SelectionChanged 82 82

