1647595852343	PolyGesture	ExperimentStarted	Paolo
1647595855126	PolyGesture	InputEvent	SelectionChanged 0 0

1647595855127	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647595855269	PolyGesture	InputEvent	SelectionChanged 0 0

1647595855270	PolyGesture	InputEvent	SelectionChanged 0 0

1647595855271	PolyGesture	TaskStarted	Cancella carattere

1647595855272	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647595855277	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647595855280	PolyGesture	InputEvent	SelectionChanged 517 517

1647595855303	PolyGesture	InputEvent	FocusChanged true 130 null

1647595855334	PolyGesture	InputEvent	WindowFocusChanged true

1647595858387	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=720.0, y[0]=63.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598349004, downTime=598349004, deviceId=6, source=0x1002, displayId=0 }
1647595858437	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=720.0, y[0]=63.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598349066, downTime=598349004, deviceId=6, source=0x1002, displayId=0 }
1647595858448	PolyGesture	InputEvent	SelectionChanged 82 82

1647595858489	PolyGesture	InputEvent	BeginBatchEdit

1647595858490	PolyGesture	InputEvent	BeginBatchEdit

1647595858507	PolyGesture	InputEvent	BeginBatchEdit

1647595858528	PolyGesture	InputEvent	BeginBatchEdit

1647595858743	PolyGesture	InputEvent	BeginBatchEdit

1647595858756	PolyGesture	InputEvent	BeginBatchEdit

