1644166872656	PolyGesture	ExperimentStarted	Raffaele
1644166874741	PolyGesture	InputEvent	SelectionChanged 0 0

1644166874742	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644166874746	PolyGesture	InputEvent	SelectionChanged 0 0

1644166874747	PolyGesture	InputEvent	SelectionChanged 0 0

1644166874748	PolyGesture	TaskStarted	Cancella carattere

1644166874748	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644166874752	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644166874755	PolyGesture	InputEvent	SelectionChanged 517 517

1644166874769	PolyGesture	InputEvent	FocusChanged true 130 null

1644166874788	PolyGesture	InputEvent	WindowFocusChanged true

1644166874797	PolyGesture	InputEvent	BeginBatchEdit

1644166874797	PolyGesture	InputEvent	BeginBatchEdit

1644166876004	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=434.0, y[0]=171.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32894719, downTime=32894719, deviceId=4, source=0x1002, displayId=0 }
1644166876039	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=434.0, y[0]=171.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32894754, downTime=32894719, deviceId=4, source=0x1002, displayId=0 }
1644166876048	PolyGesture	InputEvent	SelectionChanged 138 138

1644166876066	PolyGesture	InputEvent	BeginBatchEdit

1644166876122	PolyGesture	InputEvent	BeginBatchEdit

1644166876122	PolyGesture	InputEvent	BeginBatchEdit

1644166876123	PolyGesture	InputEvent	BeginBatchEdit

1644166876131	PolyGesture	InputEvent	BeginBatchEdit

1644166876196	PolyGesture	InputEvent	BeginBatchEdit

1644166876378	PolyGesture	InputEvent	BeginBatchEdit

1644166876380	PolyGesture	InputEvent	BeginBatchEdit

1644166876399	PolyGesture	InputEvent	BeginBatchEdit

1644166879211	PolyGesture	InputEvent	TouchEvent (cursorPosition=138): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=439.0, y[0]=127.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32897927, downTime=32897927, deviceId=4, source=0x1002, displayId=0 }
1644166879267	PolyGesture	InputEvent	TouchEvent (cursorPosition=138): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=439.0, y[0]=130.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32897993, downTime=32897927, deviceId=4, source=0x1002, displayId=0 }
1644166879275	PolyGesture	InputEvent	TouchEvent (cursorPosition=138): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=439.0, y[0]=130.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32898002, downTime=32897927, deviceId=4, source=0x1002, displayId=0 }
1644166879296	PolyGesture	InputEvent	SelectionChanged 82 82

1644166879321	PolyGesture	InputEvent	BeginBatchEdit

1644166879350	PolyGesture	InputEvent	BeginBatchEdit

1644166879543	PolyGesture	InputEvent	BeginBatchEdit

1644166879544	PolyGesture	InputEvent	BeginBatchEdit

1644166879566	PolyGesture	InputEvent	BeginBatchEdit

1644166880508	PolyGesture	InputEvent	BeginBatchEdit

1644166880526	PolyGesture	InputEvent	SelectionChanged 0 0

1644166880528	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1644166880533	PolyGesture	InputEvent	SelectionChanged 81 81

