1644515885087	PolyGesture	ExperimentStarted	Raffaele
1644515885868	PolyGesture	InputEvent	SelectionChanged 0 0

1644515885869	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644515885939	PolyGesture	InputEvent	SelectionChanged 0 0

1644515885940	PolyGesture	InputEvent	SelectionChanged 0 0

1644515885940	PolyGesture	TaskStarted	Cancella carattere

1644515885941	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644515885944	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644515885947	PolyGesture	InputEvent	SelectionChanged 517 517

1644515885965	PolyGesture	InputEvent	FocusChanged true 130 null

1644515885986	PolyGesture	InputEvent	WindowFocusChanged true

1644515886883	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=731.0, y[0]=95.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90081005, downTime=90081005, deviceId=6, source=0x1002, displayId=0 }
1644515886957	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=731.0, y[0]=95.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90081089, downTime=90081005, deviceId=6, source=0x1002, displayId=0 }
1644515886966	PolyGesture	InputEvent	SelectionChanged 82 82

1644515886987	PolyGesture	InputEvent	BeginBatchEdit

1644515886988	PolyGesture	InputEvent	BeginBatchEdit

1644515886998	PolyGesture	InputEvent	BeginBatchEdit

1644515887006	PolyGesture	InputEvent	BeginBatchEdit

1644515887215	PolyGesture	InputEvent	BeginBatchEdit

1644515887216	PolyGesture	InputEvent	BeginBatchEdit

1644515887234	PolyGesture	InputEvent	BeginBatchEdit

1644515888567	PolyGesture	InputEvent	BeginBatchEdit

1644515888595	PolyGesture	InputEvent	SelectionChanged 0 0

1644515888598	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1644515888604	PolyGesture	InputEvent	SelectionChanged 81 81

1644515888605	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1644515888609	PolyGesture	InputEvent	SelectionChanged 81 81

1644515888617	PolyGesture	InputEvent	BeginBatchEdit

1644515888621	PolyGesture	InputEvent	BeginBatchEdit

