1647345523803	PolyGesture	ExperimentStarted	Raffaele bis
1647345530280	PolyGesture	InputEvent	SelectionChanged 0 0

1647345530281	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647345530284	PolyGesture	InputEvent	SelectionChanged 0 0

1647345530284	PolyGesture	InputEvent	SelectionChanged 0 0

1647345530285	PolyGesture	TaskStarted	Cancella carattere

1647345530285	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647345530288	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647345530291	PolyGesture	InputEvent	SelectionChanged 517 517

1647345530309	PolyGesture	InputEvent	FocusChanged true 130 null

1647345530330	PolyGesture	InputEvent	WindowFocusChanged true

1647345530337	PolyGesture	InputEvent	BeginBatchEdit

1647345530337	PolyGesture	InputEvent	BeginBatchEdit

1647345538413	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=449.0, y[0]=108.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427206620, downTime=427206620, deviceId=6, source=0x1002, displayId=0 }
1647345538464	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=449.0, y[0]=108.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=427206679, downTime=427206620, deviceId=6, source=0x1002, displayId=0 }
1647345538471	PolyGesture	InputEvent	SelectionChanged 82 82

1647345538496	PolyGesture	InputEvent	BeginBatchEdit

1647345538537	PolyGesture	InputEvent	BeginBatchEdit

1647345538538	PolyGesture	InputEvent	BeginBatchEdit

1647345538548	PolyGesture	InputEvent	BeginBatchEdit

1647345538582	PolyGesture	InputEvent	BeginBatchEdit

1647345538782	PolyGesture	InputEvent	BeginBatchEdit

1647345541808	PolyGesture	InputEvent	BeginBatchEdit

1647345541827	PolyGesture	InputEvent	SelectionChanged 0 0

1647345541830	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647345541837	PolyGesture	InputEvent	SelectionChanged 81 81

1647345541839	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1647345541843	PolyGesture	InputEvent	SelectionChanged 81 81

1647345541852	PolyGesture	InputEvent	BeginBatchEdit

1647345541857	PolyGesture	InputEvent	BeginBatchEdit

1647345541857	PolyGesture	InputEvent	BeginBatchEdit

1647345541864	PolyGesture	InputEvent	BeginBatchEdit

1647345541866	PolyGesture	InputEvent	BeginBatchEdit

1647345541868	PolyGesture	InputEvent	BeginBatchEdit

1647345541873	PolyGesture	InputEvent	BeginBatchEdit

1647345542075	PolyGesture	InputEvent	BeginBatchEdit

