1647350091217	PolyGesture	ExperimentStarted	Raffaele bis
1647350093735	PolyGesture	InputEvent	SelectionChanged 0 0

1647350093737	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647350093746	PolyGesture	InputEvent	SelectionChanged 0 0

1647350093748	PolyGesture	InputEvent	SelectionChanged 0 0

1647350093749	PolyGesture	TaskStarted	Cancella carattere

1647350093751	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647350093756	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647350093760	PolyGesture	InputEvent	SelectionChanged 517 517

1647350093785	PolyGesture	InputEvent	FocusChanged true 130 null

1647350093814	PolyGesture	InputEvent	WindowFocusChanged true

1647350093822	PolyGesture	InputEvent	BeginBatchEdit

1647350093823	PolyGesture	InputEvent	BeginBatchEdit

1647350104835	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=759.0, y[0]=146.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430256784, downTime=430256784, deviceId=6, source=0x1002, displayId=0 }
1647350104892	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=759.0, y[0]=146.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430256851, downTime=430256784, deviceId=6, source=0x1002, displayId=0 }
1647350104898	PolyGesture	InputEvent	SelectionChanged 83 83

1647350104929	PolyGesture	InputEvent	BeginBatchEdit

1647350104961	PolyGesture	InputEvent	BeginBatchEdit

1647350104962	PolyGesture	InputEvent	BeginBatchEdit

1647350104986	PolyGesture	InputEvent	BeginBatchEdit

1647350105031	PolyGesture	InputEvent	BeginBatchEdit

1647350105231	PolyGesture	InputEvent	BeginBatchEdit

1647350105560	PolyGesture	InputEvent	TouchEvent (cursorPosition=83): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=729.0, y[0]=168.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430257510, downTime=430257510, deviceId=6, source=0x1002, displayId=0 }
1647350105611	PolyGesture	InputEvent	TouchEvent (cursorPosition=83): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=729.0, y[0]=168.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430257571, downTime=430257510, deviceId=6, source=0x1002, displayId=0 }
1647350105631	PolyGesture	InputEvent	SelectionChanged 82 82

1647350105662	PolyGesture	InputEvent	BeginBatchEdit

1647350105697	PolyGesture	InputEvent	BeginBatchEdit

1647350105889	PolyGesture	InputEvent	BeginBatchEdit

1647350107805	PolyGesture	InputEvent	BeginBatchEdit

1647350107833	PolyGesture	InputEvent	SelectionChanged 0 0

1647350107837	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647350107843	PolyGesture	InputEvent	SelectionChanged 81 81

1647350107844	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1647350107848	PolyGesture	InputEvent	SelectionChanged 81 81

1647350107859	PolyGesture	InputEvent	BeginBatchEdit

1647350107865	PolyGesture	InputEvent	BeginBatchEdit

1647350107865	PolyGesture	InputEvent	BeginBatchEdit

1647350107873	PolyGesture	InputEvent	BeginBatchEdit

1647350107876	PolyGesture	InputEvent	BeginBatchEdit

1647350107876	PolyGesture	InputEvent	BeginBatchEdit

1647350107879	PolyGesture	InputEvent	BeginBatchEdit

1647350108081	PolyGesture	InputEvent	BeginBatchEdit

1647350109151	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=723.0, y[0]=188.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430261099, downTime=430261099, deviceId=6, source=0x1002, displayId=0 }
1647350109202	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=723.0, y[0]=188.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430261161, downTime=430261099, deviceId=6, source=0x1002, displayId=0 }
1647350109210	PolyGesture	InputEvent	SelectionChanged 131 131

1647350109241	PolyGesture	InputEvent	BeginBatchEdit

1647350109280	PolyGesture	InputEvent	BeginBatchEdit

1647350109471	PolyGesture	InputEvent	BeginBatchEdit

1647350109903	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=747.0, y[0]=195.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430261853, downTime=430261853, deviceId=6, source=0x1002, displayId=0 }
1647350109948	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=747.0, y[0]=195.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430261908, downTime=430261853, deviceId=6, source=0x1002, displayId=0 }
1647350109967	PolyGesture	InputEvent	SelectionChanged 132 132

1647350109994	PolyGesture	InputEvent	BeginBatchEdit

1647350110036	PolyGesture	InputEvent	BeginBatchEdit

1647350110227	PolyGesture	InputEvent	BeginBatchEdit

1647350111165	PolyGesture	InputEvent	BeginBatchEdit

1647350111188	PolyGesture	InputEvent	SelectionChanged 0 0

1647350111192	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647350111199	PolyGesture	InputEvent	SelectionChanged 131 131

1647350111200	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647350111204	PolyGesture	InputEvent	SelectionChanged 131 131

1647350111215	PolyGesture	InputEvent	BeginBatchEdit

1647350111220	PolyGesture	InputEvent	BeginBatchEdit

1647350111221	PolyGesture	InputEvent	BeginBatchEdit

1647350111227	PolyGesture	InputEvent	BeginBatchEdit

1647350111229	PolyGesture	InputEvent	BeginBatchEdit

1647350111232	PolyGesture	InputEvent	BeginBatchEdit

1647350111235	PolyGesture	InputEvent	BeginBatchEdit

1647350111436	PolyGesture	InputEvent	BeginBatchEdit

1647350112226	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=972.0, y[0]=406.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430264173, downTime=430264173, deviceId=6, source=0x1002, displayId=0 }
1647350112255	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=972.0, y[0]=406.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430264214, downTime=430264173, deviceId=6, source=0x1002, displayId=0 }
1647350112262	PolyGesture	InputEvent	SelectionChanged 312 312

1647350112293	PolyGesture	InputEvent	BeginBatchEdit

1647350112319	PolyGesture	InputEvent	BeginBatchEdit

1647350112522	PolyGesture	InputEvent	BeginBatchEdit

1647350113200	PolyGesture	InputEvent	BeginBatchEdit

1647350113219	PolyGesture	InputEvent	SelectionChanged 0 0

1647350113223	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647350113231	PolyGesture	InputEvent	SelectionChanged 311 311

1647350113232	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 1 0

1647350113237	PolyGesture	InputEvent	SelectionChanged 311 311

1647350113249	PolyGesture	InputEvent	BeginBatchEdit

1647350113255	PolyGesture	InputEvent	BeginBatchEdit

1647350113255	PolyGesture	InputEvent	BeginBatchEdit

1647350113261	PolyGesture	InputEvent	BeginBatchEdit

1647350113264	PolyGesture	InputEvent	BeginBatchEdit

1647350113265	PolyGesture	InputEvent	BeginBatchEdit

1647350113267	PolyGesture	InputEvent	BeginBatchEdit

1647350113469	PolyGesture	InputEvent	BeginBatchEdit

1647350113987	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=679.0, y[0]=565.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430265937, downTime=430265937, deviceId=6, source=0x1002, displayId=0 }
1647350114019	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=679.0, y[0]=565.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430265979, downTime=430265937, deviceId=6, source=0x1002, displayId=0 }
1647350114028	PolyGesture	InputEvent	SelectionChanged 437 437

1647350114061	PolyGesture	InputEvent	BeginBatchEdit

1647350114101	PolyGesture	InputEvent	BeginBatchEdit

1647350114293	PolyGesture	InputEvent	BeginBatchEdit

1647350114812	PolyGesture	InputEvent	TouchEvent (cursorPosition=437): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=669.0, y[0]=572.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430266762, downTime=430266762, deviceId=6, source=0x1002, displayId=0 }
1647350114857	PolyGesture	InputEvent	TouchEvent (cursorPosition=437): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=669.0, y[0]=572.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430266817, downTime=430266762, deviceId=6, source=0x1002, displayId=0 }
1647350114878	PolyGesture	InputEvent	SelectionChanged 436 436

1647350114913	PolyGesture	InputEvent	BeginBatchEdit

1647350114952	PolyGesture	InputEvent	BeginBatchEdit

1647350115151	PolyGesture	InputEvent	BeginBatchEdit

1647350115900	PolyGesture	InputEvent	BeginBatchEdit

1647350115920	PolyGesture	InputEvent	SelectionChanged 0 0

1647350115925	PolyGesture	TaskCompleted	Cancella carattere in 22"175 seconds (at 430267884, effective time: 11"100)

***************************************


1647350115939	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647350115945	PolyGesture	InputEvent	SelectionChanged 435 435

1647350115945	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647350115951	PolyGesture	InputEvent	SelectionChanged 435 435

1647350115963	PolyGesture	InputEvent	BeginBatchEdit

1647350116018	PolyGesture	InputEvent	BeginBatchEdit

1647350116018	PolyGesture	InputEvent	BeginBatchEdit

1647350116019	PolyGesture	InputEvent	BeginBatchEdit

1647350116022	PolyGesture	InputEvent	BeginBatchEdit

1647350116025	PolyGesture	InputEvent	BeginBatchEdit

1647350116028	PolyGesture	InputEvent	BeginBatchEdit

1647350116230	PolyGesture	InputEvent	BeginBatchEdit

1647350117743	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=430269697, downTime=430269697, deviceId=-1, source=0x101, displayId=0 }

1647350117746	PolyGesture	InputEvent	BeginBatchEdit

1647350117802	PolyGesture	InputEvent	WindowFocusChanged false

1647350117836	PolyGesture	InputEvent	BeginBatchEdit

1647350117837	PolyGesture	InputEvent	BeginBatchEdit

1647350119058	PolyGesture	InputEvent	SelectionChanged 0 0

1647350119058	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647350119064	PolyGesture	InputEvent	SelectionChanged 0 0

1647350119064	PolyGesture	InputEvent	SelectionChanged 0 0

1647350119065	PolyGesture	TaskStarted	Cancella parola

1647350119066	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647350119069	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647350119071	PolyGesture	InputEvent	SelectionChanged 534 534

1647350119093	PolyGesture	InputEvent	FocusChanged true 130 null

1647350119120	PolyGesture	InputEvent	WindowFocusChanged true

1647350119127	PolyGesture	InputEvent	BeginBatchEdit

1647350119128	PolyGesture	InputEvent	BeginBatchEdit

1647350120350	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=302.0, y[0]=167.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430272286, downTime=430272286, deviceId=6, source=0x1002, displayId=0 }
1647350120658	PolyGesture	InputEvent	SelectionChanged 59 62

1647350120687	PolyGesture	InputEvent	TouchEvent (cursorPosition=59): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=302.0, y[0]=167.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430272647, downTime=430272286, deviceId=6, source=0x1002, displayId=0 }
1647350120840	PolyGesture	InputEvent	BeginBatchEdit

1647350121041	PolyGesture	InputEvent	BeginBatchEdit

1647350121041	PolyGesture	InputEvent	BeginBatchEdit

1647350123846	PolyGesture	InputEvent	TouchEvent (cursorPosition=59): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=529.0, y[0]=977.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430275790, downTime=430275790, deviceId=6, source=0x1002, displayId=0 }
1647350123906	PolyGesture	InputEvent	TouchEvent (cursorPosition=59): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=529.0, y[0]=977.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430275866, downTime=430275790, deviceId=6, source=0x1002, displayId=0 }
1647350123946	PolyGesture	InputEvent	SelectionChanged 519 519

1647350123980	PolyGesture	InputEvent	BeginBatchEdit

1647350124038	PolyGesture	InputEvent	BeginBatchEdit

1647350124228	PolyGesture	InputEvent	BeginBatchEdit

1647350124630	PolyGesture	InputEvent	TouchEvent (cursorPosition=519): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=292.0, y[0]=210.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430276579, downTime=430276579, deviceId=6, source=0x1002, displayId=0 }
1647350124951	PolyGesture	InputEvent	SelectionChanged 103 109

1647350124970	PolyGesture	InputEvent	BeginBatchEdit

1647350124974	PolyGesture	InputEvent	BeginBatchEdit

1647350125175	PolyGesture	InputEvent	BeginBatchEdit

1647350125189	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=292.0, y[0]=210.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430277148, downTime=430276579, deviceId=6, source=0x1002, displayId=0 }
1647350126575	PolyGesture	InputEvent	BeginBatchEdit

