1647350513866	PolyGesture	ExperimentStarted	Raffaele bis
1647350516376	PolyGesture	InputEvent	SelectionChanged 0 0

1647350516376	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647350516511	PolyGesture	InputEvent	SelectionChanged 0 0

1647350516512	PolyGesture	InputEvent	SelectionChanged 0 0

1647350516512	PolyGesture	TaskStarted	Cancella carattere

1647350516513	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647350516516	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647350516518	PolyGesture	InputEvent	SelectionChanged 517 517

1647350516538	PolyGesture	InputEvent	FocusChanged true 130 null

1647350516563	PolyGesture	InputEvent	WindowFocusChanged true

1647350519837	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=455.0, y[0]=69.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430671787, downTime=430671787, deviceId=6, source=0x1002, displayId=0 }
1647350519881	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=455.0, y[0]=69.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430671840, downTime=430671787, deviceId=6, source=0x1002, displayId=0 }
1647350519889	PolyGesture	InputEvent	SelectionChanged 82 82

1647350519928	PolyGesture	InputEvent	BeginBatchEdit

1647350519929	PolyGesture	InputEvent	BeginBatchEdit

1647350519946	PolyGesture	InputEvent	BeginBatchEdit

1647350519966	PolyGesture	InputEvent	BeginBatchEdit

1647350520169	PolyGesture	InputEvent	BeginBatchEdit

1647350526331	PolyGesture	InputEvent	BeginBatchEdit

1647350526341	PolyGesture	InputEvent	SelectionChanged 0 0

1647350526343	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647350526348	PolyGesture	InputEvent	SelectionChanged 81 81

1647350526349	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1647350526353	PolyGesture	InputEvent	SelectionChanged 81 81

1647350526364	PolyGesture	InputEvent	BeginBatchEdit

1647350526369	PolyGesture	InputEvent	BeginBatchEdit

1647350526370	PolyGesture	InputEvent	BeginBatchEdit

1647350526379	PolyGesture	InputEvent	BeginBatchEdit

1647350526386	PolyGesture	InputEvent	BeginBatchEdit

1647350526386	PolyGesture	InputEvent	BeginBatchEdit

1647350526389	PolyGesture	InputEvent	BeginBatchEdit

1647350526591	PolyGesture	InputEvent	BeginBatchEdit

1647350527417	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=360.0, y[0]=124.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430679367, downTime=430679367, deviceId=6, source=0x1002, displayId=0 }
