1647341065356	PolyGesture	ExperimentStarted	Silvia
1647341070655	PolyGesture	InputEvent	SelectionChanged 0 0

1647341070656	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647341070661	PolyGesture	InputEvent	SelectionChanged 0 0

1647341070662	PolyGesture	InputEvent	SelectionChanged 0 0

1647341070662	PolyGesture	TaskStarted	Cancella carattere

1647341070663	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647341070666	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647341070670	PolyGesture	InputEvent	SelectionChanged 517 517

1647341070687	PolyGesture	InputEvent	FocusChanged true 130 null

1647341070709	PolyGesture	InputEvent	WindowFocusChanged true

1647341070716	PolyGesture	InputEvent	BeginBatchEdit

1647341070716	PolyGesture	InputEvent	BeginBatchEdit

1647341072808	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=723.0, y[0]=126.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423061996, downTime=423061996, deviceId=6, source=0x1002, displayId=0 }
1647341072870	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=723.0, y[0]=126.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423062070, downTime=423061996, deviceId=6, source=0x1002, displayId=0 }
1647341072878	PolyGesture	InputEvent	SelectionChanged 82 82

1647341072895	PolyGesture	InputEvent	BeginBatchEdit

1647341072927	PolyGesture	InputEvent	BeginBatchEdit

1647341072928	PolyGesture	InputEvent	BeginBatchEdit

1647341072947	PolyGesture	InputEvent	BeginBatchEdit

1647341072980	PolyGesture	InputEvent	BeginBatchEdit

1647341073181	PolyGesture	InputEvent	BeginBatchEdit

1647341073615	PolyGesture	InputEvent	BeginBatchEdit

1647341073631	PolyGesture	InputEvent	SelectionChanged 0 0

1647341073633	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647341073640	PolyGesture	InputEvent	SelectionChanged 81 81

1647341073642	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1647341073646	PolyGesture	InputEvent	SelectionChanged 81 81

1647341073654	PolyGesture	InputEvent	BeginBatchEdit

1647341073661	PolyGesture	InputEvent	BeginBatchEdit

1647341073661	PolyGesture	InputEvent	BeginBatchEdit

1647341073672	PolyGesture	InputEvent	BeginBatchEdit

1647341073676	PolyGesture	InputEvent	BeginBatchEdit

1647341073678	PolyGesture	InputEvent	BeginBatchEdit

1647341073681	PolyGesture	InputEvent	BeginBatchEdit

1647341073882	PolyGesture	InputEvent	BeginBatchEdit

1647341074431	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=764.0, y[0]=181.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423063621, downTime=423063621, deviceId=6, source=0x1002, displayId=0 }
1647341074490	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=764.0, y[0]=181.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423063690, downTime=423063621, deviceId=6, source=0x1002, displayId=0 }
1647341074496	PolyGesture	InputEvent	SelectionChanged 133 133

1647341074526	PolyGesture	InputEvent	BeginBatchEdit

1647341074565	PolyGesture	InputEvent	BeginBatchEdit

1647341074762	PolyGesture	InputEvent	BeginBatchEdit

