1647340669661	PolyGesture	ExperimentStarted	Silvia
1647340672194	PolyGesture	InputEvent	SelectionChanged 0 0

1647340672195	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647340672257	PolyGesture	InputEvent	SelectionChanged 0 0

1647340672258	PolyGesture	InputEvent	SelectionChanged 0 0

1647340672258	PolyGesture	TaskStarted	Cancella carattere

1647340672258	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647340672261	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647340672263	PolyGesture	InputEvent	SelectionChanged 517 517

1647340672280	PolyGesture	InputEvent	FocusChanged true 130 null

1647340672299	PolyGesture	InputEvent	WindowFocusChanged true

1647340675681	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=722.0, y[0]=88.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422664871, downTime=422664871, deviceId=6, source=0x1002, displayId=0 }
1647340675724	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=722.0, y[0]=88.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422664924, downTime=422664871, deviceId=6, source=0x1002, displayId=0 }
1647340675733	PolyGesture	InputEvent	SelectionChanged 82 82

1647340675769	PolyGesture	InputEvent	BeginBatchEdit

1647340675770	PolyGesture	InputEvent	BeginBatchEdit

1647340675770	PolyGesture	InputEvent	BeginBatchEdit

1647340675779	PolyGesture	InputEvent	BeginBatchEdit

1647340675981	PolyGesture	InputEvent	BeginBatchEdit

1647340676805	PolyGesture	InputEvent	BeginBatchEdit

1647340676822	PolyGesture	InputEvent	SelectionChanged 0 0

1647340676824	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647340676833	PolyGesture	InputEvent	SelectionChanged 81 81

1647340676835	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1647340676839	PolyGesture	InputEvent	SelectionChanged 81 81

1647340676848	PolyGesture	InputEvent	BeginBatchEdit

1647340676854	PolyGesture	InputEvent	BeginBatchEdit

1647340676854	PolyGesture	InputEvent	BeginBatchEdit

1647340676862	PolyGesture	InputEvent	BeginBatchEdit

1647340676865	PolyGesture	InputEvent	BeginBatchEdit

1647340676866	PolyGesture	InputEvent	BeginBatchEdit

1647340676869	PolyGesture	InputEvent	BeginBatchEdit

1647340677070	PolyGesture	InputEvent	BeginBatchEdit

1647340677511	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=970.0, y[0]=360.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422666708, downTime=422666708, deviceId=6, source=0x1002, displayId=0 }
1647340677556	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=970.0, y[0]=360.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422666756, downTime=422666708, deviceId=6, source=0x1002, displayId=0 }
1647340677564	PolyGesture	InputEvent	SelectionChanged 313 313

1647340677593	PolyGesture	InputEvent	BeginBatchEdit

1647340677627	PolyGesture	InputEvent	BeginBatchEdit

1647340677819	PolyGesture	InputEvent	BeginBatchEdit

1647340680004	PolyGesture	InputEvent	BeginBatchEdit

1647340680023	PolyGesture	InputEvent	SelectionChanged 0 0

1647340680025	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647340680033	PolyGesture	InputEvent	SelectionChanged 312 312

1647340680034	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 312 1 0

1647340680038	PolyGesture	InputEvent	SelectionChanged 312 312

1647340680048	PolyGesture	InputEvent	BeginBatchEdit

1647340680053	PolyGesture	InputEvent	BeginBatchEdit

1647340680054	PolyGesture	InputEvent	BeginBatchEdit

1647340680060	PolyGesture	InputEvent	BeginBatchEdit

1647340680063	PolyGesture	InputEvent	BeginBatchEdit

1647340680068	PolyGesture	InputEvent	BeginBatchEdit

1647340680074	PolyGesture	InputEvent	BeginBatchEdit

1647340680275	PolyGesture	InputEvent	BeginBatchEdit

1647340680779	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=753.0, y[0]=136.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422669969, downTime=422669969, deviceId=6, source=0x1002, displayId=0 }
1647340680844	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=753.0, y[0]=136.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422670044, downTime=422669969, deviceId=6, source=0x1002, displayId=0 }
1647340680852	PolyGesture	InputEvent	SelectionChanged 132 132

1647340680874	PolyGesture	InputEvent	BeginBatchEdit

1647340680908	PolyGesture	InputEvent	BeginBatchEdit

1647340681100	PolyGesture	InputEvent	BeginBatchEdit

1647340681529	PolyGesture	InputEvent	BeginBatchEdit

1647340681548	PolyGesture	InputEvent	SelectionChanged 0 0

