1647343687725	PolyGesture	ExperimentStarted	vincenzo
1647343689920	PolyGesture	InputEvent	SelectionChanged 0 0

1647343689921	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647343689991	PolyGesture	InputEvent	SelectionChanged 0 0

1647343689992	PolyGesture	InputEvent	SelectionChanged 0 0

1647343689992	PolyGesture	TaskStarted	Cancella carattere

1647343689993	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647343689996	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647343689999	PolyGesture	InputEvent	SelectionChanged 517 517

1647343690017	PolyGesture	InputEvent	FocusChanged true 130 null

1647343690042	PolyGesture	InputEvent	WindowFocusChanged true

1647343691711	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=439.0, y[0]=91.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425561383, downTime=425561383, deviceId=6, source=0x1002, displayId=0 }
1647343691746	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=439.0, y[0]=91.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425561431, downTime=425561383, deviceId=6, source=0x1002, displayId=0 }
1647343691753	PolyGesture	InputEvent	SelectionChanged 82 82

1647343691783	PolyGesture	InputEvent	BeginBatchEdit

1647343691783	PolyGesture	InputEvent	BeginBatchEdit

1647343691796	PolyGesture	InputEvent	BeginBatchEdit

1647343691862	PolyGesture	InputEvent	BeginBatchEdit

1647343692063	PolyGesture	InputEvent	BeginBatchEdit

1647343692838	PolyGesture	InputEvent	BeginBatchEdit

1647343692865	PolyGesture	InputEvent	SelectionChanged 0 0

1647343692867	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647343692870	PolyGesture	InputEvent	SelectionChanged 81 81

1647343692871	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1647343692875	PolyGesture	InputEvent	SelectionChanged 81 81

1647343692883	PolyGesture	InputEvent	BeginBatchEdit

1647343692891	PolyGesture	InputEvent	BeginBatchEdit

1647343692892	PolyGesture	InputEvent	BeginBatchEdit

1647343692904	PolyGesture	InputEvent	BeginBatchEdit

1647343692906	PolyGesture	InputEvent	BeginBatchEdit

1647343692907	PolyGesture	InputEvent	BeginBatchEdit

1647343692909	PolyGesture	InputEvent	BeginBatchEdit

