1647343540805	PolyGesture	ExperimentStarted	vincenzo
1647343555031	PolyGesture	InputEvent	SelectionChanged 0 0

1647343555032	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647343555161	PolyGesture	InputEvent	SelectionChanged 0 0

1647343555162	PolyGesture	InputEvent	SelectionChanged 0 0

1647343555163	PolyGesture	TaskStarted	Cancella carattere

1647343555163	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647343555167	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647343555170	PolyGesture	InputEvent	SelectionChanged 517 517

1647343555186	PolyGesture	InputEvent	FocusChanged true 130 null

1647343555215	PolyGesture	InputEvent	WindowFocusChanged true

1647343557953	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=726.0, y[0]=108.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425427628, downTime=425427628, deviceId=6, source=0x1002, displayId=0 }
1647343557997	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=726.0, y[0]=108.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425427682, downTime=425427628, deviceId=6, source=0x1002, displayId=0 }
1647343558004	PolyGesture	InputEvent	SelectionChanged 82 82

1647343558050	PolyGesture	InputEvent	BeginBatchEdit

1647343558051	PolyGesture	InputEvent	BeginBatchEdit

1647343558051	PolyGesture	InputEvent	BeginBatchEdit

1647343558063	PolyGesture	InputEvent	BeginBatchEdit

1647343558266	PolyGesture	InputEvent	BeginBatchEdit

1647343558824	PolyGesture	InputEvent	BeginBatchEdit

1647343558848	PolyGesture	InputEvent	SelectionChanged 0 0

1647343558851	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647343558858	PolyGesture	InputEvent	SelectionChanged 81 81

1647343558859	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1647343558863	PolyGesture	InputEvent	SelectionChanged 81 81

1647343558874	PolyGesture	InputEvent	BeginBatchEdit

1647343558880	PolyGesture	InputEvent	BeginBatchEdit

1647343558880	PolyGesture	InputEvent	BeginBatchEdit

1647343558888	PolyGesture	InputEvent	BeginBatchEdit

1647343558890	PolyGesture	InputEvent	BeginBatchEdit

1647343558893	PolyGesture	InputEvent	BeginBatchEdit

1647343558897	PolyGesture	InputEvent	BeginBatchEdit

1647343559099	PolyGesture	InputEvent	BeginBatchEdit

1647343559543	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=735.0, y[0]=129.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425429219, downTime=425429219, deviceId=6, source=0x1002, displayId=0 }
1647343559609	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=735.0, y[0]=129.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425429294, downTime=425429219, deviceId=6, source=0x1002, displayId=0 }
1647343559616	PolyGesture	InputEvent	SelectionChanged 131 131

1647343559647	PolyGesture	InputEvent	BeginBatchEdit

